protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_010659669.1,YP_010659669.1 hypothetical protein PP764_gp74 [Escherichia phage phi G17],PF17346,Family of unknown function (DUF5376),NC_070870,Escherichia phage phi G17
YP_010659703.1,YP_010659703.1 hypothetical protein PP765_gp30 [Escherichia phage PGN829.1],PF05720,Cell-cell adhesion domain,NC_070871,Escherichia phage PGN829.1
YP_010659706.1,YP_010659706.1 hypothetical protein PP765_gp33 [Escherichia phage PGN829.1],PF15682,Musculoskeletal temporally activated-embryonic nuclear protein 1,NC_070871,Escherichia phage PGN829.1
YP_010659717.1,YP_010659717.1 hypothetical protein PP765_gp44 [Escherichia phage PGN829.1],PF10705,Chloroplast protein precursor Ycf15 putative,NC_070871,Escherichia phage PGN829.1
YP_010659749.1,YP_010659749.1 hypothetical protein PP765_gp76 [Escherichia phage PGN829.1],PF11753,Protein of unknwon function (DUF3310),NC_070871,Escherichia phage PGN829.1
YP_010659760.1,YP_010659760.1 hypothetical protein PP766_gp03 [Escherichia phage U1G],PF11438,36-mer N-terminal peptide of the N protein (N36),NC_070872,Escherichia phage U1G
YP_010659769.1,YP_010659769.1 hypothetical protein PP766_gp12 [Escherichia phage U1G],PF01787,Ilarvirus coat protein,NC_070872,Escherichia phage U1G
YP_010659783.1,YP_010659783.1 ATPase [Escherichia phage U1G],PF01637,ATPase domain predominantly from Archaea,NC_070872,Escherichia phage U1G
YP_010659792.1,YP_010659792.1 hypothetical protein PP766_gp35 [Escherichia phage U1G],PF04776,Protein MS5,NC_070872,Escherichia phage U1G
YP_010659845.1,YP_010659845.1 hypothetical protein PP766_gp88 [Escherichia phage U1G],PF10674,Ycf54 protein,NC_070872,Escherichia phage U1G
YP_010659852.1,YP_010659852.1 RNA polymerase 1 subunit A [Escherichia phage St11Ph5],PF11944,Protein of unknown function (DUF3461),NC_070873,Escherichia phage St11Ph5
YP_010659867.1,YP_010659867.1 hypothetical protein PP767_gp19 [Escherichia phage St11Ph5],PF09221,Bacteriocin class IId cyclical uberolysin-like,NC_070873,Escherichia phage St11Ph5
YP_010659868.1,YP_010659868.1 hypothetical protein PP767_gp20 [Escherichia phage St11Ph5],PF07118,Protein of unknown function (DUF1374),NC_070873,Escherichia phage St11Ph5
YP_010659905.1,YP_010659905.1 hypothetical protein PP767_gp57 [Escherichia phage St11Ph5],PF06331,Transcription factor TFIIH complex subunit Tfb5,NC_070873,Escherichia phage St11Ph5
YP_010659926.1,YP_010659926.1 hypothetical protein PP767_gp70 [Escherichia phage St11Ph5],PF02079,Nuclear transition protein 1,NC_070873,Escherichia phage St11Ph5
YP_010659937.1,YP_010659937.1 hypothetical protein PP767_gp59 [Escherichia phage St11Ph5],PF01954,AF2212-like,NC_070873,Escherichia phage St11Ph5
YP_010659947.1,YP_010659947.1 hypothetical protein PP768_gp10 [Escherichia phage vB_EcoP-ZQ2],PF15682,Musculoskeletal temporally activated-embryonic nuclear protein 1,NC_070874,Escherichia phage vB_EcoP-ZQ2
YP_010659952.1,YP_010659952.1 hypothetical protein PP768_gp15 [Escherichia phage vB_EcoP-ZQ2],PF06855,YozE SAM-like fold,NC_070874,Escherichia phage vB_EcoP-ZQ2
YP_010659967.1,YP_010659967.1 holin [Escherichia phage vB_EcoP-ZQ2],PF16938,Putative phage holin Dp-1,NC_070874,Escherichia phage vB_EcoP-ZQ2
YP_010660001.1,YP_010660001.1 hypothetical protein PP768_gp64 [Escherichia phage vB_EcoP-ZQ2],PF06569,Protein of unknown function (DUF1128),NC_070874,Escherichia phage vB_EcoP-ZQ2
YP_010660253.1,YP_010660253.1 hypothetical protein PP898_gp21 [Serratia phage Scapp],PF06810,Phage minor structural protein GP20,NC_070875,Serratia phage Scapp
YP_010660263.1,YP_010660263.1 putative tape measure protein [Serratia phage Scapp],PF06791,Prophage tail length tape measure protein,NC_070875,Serratia phage Scapp
YP_010660329.1,YP_010660329.1 hypothetical protein PP899_gp38 [Agrobacterium phage Atu_ph08],PF00761,Polyomavirus coat protein,NC_070876,Agrobacterium phage Atu_ph08
YP_010660372.1,YP_010660372.1 hypothetical protein PP914_gp006 [Arthrobacter phage Qui],PF16677,DNA-packaging protein gp3,NC_070877,Arthrobacter phage Qui
YP_010660393.1,YP_010660393.1 hypothetical protein PP914_gp027 [Arthrobacter phage Qui],PF05188,MutS domain II,NC_070877,Arthrobacter phage Qui
YP_010660409.1,YP_010660409.1 hypothetical protein PP914_gp043 [Arthrobacter phage Qui],PF10676,Spore germination protein gerPA/gerPF,NC_070877,Arthrobacter phage Qui
YP_010660425.1,YP_010660425.1 hypothetical protein PP914_gp059 [Arthrobacter phage Qui],PF19824,Small acid-soluble spore protein Tlp,NC_070877,Arthrobacter phage Qui
YP_010660463.1,YP_010660463.1 hypothetical protein PP914_gp097 [Arthrobacter phage Qui],PF17062,Outer spore wall 5,NC_070877,Arthrobacter phage Qui
YP_010660486.1,YP_010660486.1 membrane protein [Arthrobacter phage Qui],PF05852,Gammaherpesvirus protein of unknown function (DUF848),NC_070877,Arthrobacter phage Qui
YP_010660528.1,YP_010660528.1 hypothetical protein PP914_gp162 [Arthrobacter phage Qui],PF17466,Family of unknown function,NC_070877,Arthrobacter phage Qui
YP_010660538.1,YP_010660538.1 membrane protein [Arthrobacter phage Qui],PF05854,Non-histone chromosomal protein MC1,NC_070877,Arthrobacter phage Qui
YP_010660602.1,YP_010660602.1 hypothetical protein PP914_gp236 [Arthrobacter phage Qui],PF10465,PinA peptidase inhibitor,NC_070877,Arthrobacter phage Qui
YP_010660644.1,YP_010660644.1 hypothetical protein PP916_gp02 [Staphylococcus phage BESEP3],PF17356,Phage-like element PBSX protein XtrA,NC_070879,Staphylococcus phage BESEP3
YP_010660649.1,YP_010660649.1 tail endopeptidase [Staphylococcus phage BESEP3],PF12299,Protein of unknown function (DUF3627),NC_070879,Staphylococcus phage BESEP3
YP_010660664.1,YP_010660664.1 hypothetical protein PP917_gp02 [Staphylococcus phage SeAlphi],PF10195,DNA-binding nuclear phosphoprotein p8,NC_070880,Staphylococcus phage SeAlphi
YP_010660678.1,YP_010660678.1 hypothetical protein PP917_gp16 [Staphylococcus phage SeAlphi],PF09701,CRISPR-associated protein (Cas_Cmr5),NC_070880,Staphylococcus phage SeAlphi
YP_010660708.1,YP_010660708.1 hypothetical protein PP918_gp26 [Pseudomonas phage UFJF_PfDIW6],PF01893,Uncharacterised protein family UPF0058,NC_070881,Pseudomonas phage UFJF_PfDIW6
YP_010660773.1,YP_010660773.1 hypothetical protein PP933_gp033 [Pseudomonas phage vB_PaeM_PS119XW],PF08868,YugN-like family,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660804.1,YP_010660804.1 hypothetical protein PP933_gp064 [Pseudomonas phage vB_PaeM_PS119XW],PF07826,IMP cyclohydrolase-like protein,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660830.1,YP_010660830.1 virion structural protein [Pseudomonas phage vB_PaeM_PS119XW],PF07126,Cell-division protein ZapC C-terminal,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660863.1,YP_010660863.1 hypothetical protein PP933_gp123 [Pseudomonas phage vB_PaeM_PS119XW],PF15080,Domain of unknown function (DUF4547),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660867.1,YP_010660867.1 hypothetical protein PP933_gp127 [Pseudomonas phage vB_PaeM_PS119XW],PF17470,Phage gene product 45.2,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660874.1,YP_010660874.1 hypothetical protein PP933_gp134 [Pseudomonas phage vB_PaeM_PS119XW],PF01241,Photosystem I psaG / psaK,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660878.1,YP_010660878.1 hypothetical protein PP933_gp138 [Pseudomonas phage vB_PaeM_PS119XW],PF06174,Protein of unknown function (DUF987),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660888.1,YP_010660888.1 hypothetical protein PP933_gp148 [Pseudomonas phage vB_PaeM_PS119XW],PF01677,Herpesvirus UL7 like,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660906.1,YP_010660906.1 virion structural protein [Pseudomonas phage vB_PaeM_PS119XW],PF06254,Bacterial toxin ydaT,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660923.1,YP_010660923.1 hypothetical protein PP933_gp183 [Pseudomonas phage vB_PaeM_PS119XW],PF04363,Protein of unknown function (DUF496),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660938.1,YP_010660938.1 hypothetical protein PP933_gp198 [Pseudomonas phage vB_PaeM_PS119XW],PF04363,Protein of unknown function (DUF496),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660940.1,YP_010660940.1 hypothetical protein PP933_gp200 [Pseudomonas phage vB_PaeM_PS119XW],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660951.1,YP_010660951.1 hypothetical protein PP933_gp211 [Pseudomonas phage vB_PaeM_PS119XW],PF06786,Uncharacterised protein family (UPF0253),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010660964.1,YP_010660964.1 hypothetical protein PP933_gp224 [Pseudomonas phage vB_PaeM_PS119XW],PF03358,NADPH-dependent FMN reductase,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661000.1,YP_010661000.1 hypothetical protein PP933_gp260 [Pseudomonas phage vB_PaeM_PS119XW],PF01840,TCL1/MTCP1 family,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661009.1,YP_010661009.1 tail protein [Pseudomonas phage vB_PaeM_PS119XW],PF14519,Macro-like domain,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661015.1,YP_010661015.1 hypothetical protein PP933_gp275 [Pseudomonas phage vB_PaeM_PS119XW],PF17550,Family of unknown function,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661034.1,YP_010661034.1 hypothetical protein PP933_gp294 [Pseudomonas phage vB_PaeM_PS119XW],PF03887,YfbU domain,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661057.1,YP_010661057.1 lipoprotein [Pseudomonas phage vB_PaeM_PS119XW],PF01145,SPFH domain / Band 7 family,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661061.1,YP_010661061.1 hypothetical protein PP933_gp321 [Pseudomonas phage vB_PaeM_PS119XW],PF07126,Cell-division protein ZapC C-terminal,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661074.1,YP_010661074.1 hypothetical protein PP933_gp334 [Pseudomonas phage vB_PaeM_PS119XW],PF08951,Enterocin A Immunity,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661083.1,YP_010661083.1 hypothetical protein PP933_gp343 [Pseudomonas phage vB_PaeM_PS119XW],PF03744,6-carboxyhexanoate--CoA ligase,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661084.1,YP_010661084.1 hypothetical protein PP933_gp344 [Pseudomonas phage vB_PaeM_PS119XW],PF07126,Cell-division protein ZapC C-terminal,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661103.1,YP_010661103.1 hypothetical protein PP933_gp363 [Pseudomonas phage vB_PaeM_PS119XW],PF06591,T4-like phage nuclear disruption protein (Ndd),NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661120.1,YP_010661120.1 hypothetical protein PP933_gp385 [Pseudomonas phage vB_PaeM_PS119XW],PF19824,Small acid-soluble spore protein Tlp,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661123.1,YP_010661123.1 hypothetical protein PP933_gp382 [Pseudomonas phage vB_PaeM_PS119XW],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_070882,Pseudomonas phage vB_PaeM_PS119XW
YP_010661134.1,YP_010661134.1 hypothetical protein PP934_gp005 [Rhizobium phage RHph_Y68],PF10729,Cell division activator CedA,NC_070883,Rhizobium phage RHph_Y68
YP_010661142.1,YP_010661142.1 baseplate wedge subunit [Rhizobium phage RHph_Y68],PF13884,Chaperone of endosialidase,NC_070883,Rhizobium phage RHph_Y68
YP_010661145.1,YP_010661145.1 hypothetical protein PP934_gp016 [Rhizobium phage RHph_Y68],PF08948,Bacteriophage PRD1 P5 spike N-terminal,NC_070883,Rhizobium phage RHph_Y68
YP_010661153.1,YP_010661153.1 bacterial conjugation repressor protein [Rhizobium phage RHph_Y68],PF12602,Fertility inhibition protein N terminal,NC_070883,Rhizobium phage RHph_Y68
YP_010661155.1,YP_010661155.1 UvsY-like recombination mediator [Rhizobium phage RHph_Y68],PF04363,Protein of unknown function (DUF496),NC_070883,Rhizobium phage RHph_Y68
YP_010661172.1,YP_010661172.1 hypothetical protein PP934_gp043 [Rhizobium phage RHph_Y68],PF17574,Inhibitor of toxin/antitoxin system (Gp4.5),NC_070883,Rhizobium phage RHph_Y68
YP_010661196.1,YP_010661196.1 hypothetical protein PP934_gp067 [Rhizobium phage RHph_Y68],PF03887,YfbU domain,NC_070883,Rhizobium phage RHph_Y68
YP_010661203.1,YP_010661203.1 hypothetical protein PP934_gp074 [Rhizobium phage RHph_Y68],PF03206,Nitrogen fixation protein NifW,NC_070883,Rhizobium phage RHph_Y68
YP_010661209.1,YP_010661209.1 hypothetical protein PP934_gp080 [Rhizobium phage RHph_Y68],PF05133,Phage portal protein SPP1 Gp6-like,NC_070883,Rhizobium phage RHph_Y68
YP_010661215.1,YP_010661215.1 hypothetical protein PP934_gp086 [Rhizobium phage RHph_Y68],PF06794,Uncharacterised protein family (UPF0270),NC_070883,Rhizobium phage RHph_Y68
YP_010661223.1,YP_010661223.1 hypothetical protein PP934_gp094 [Rhizobium phage RHph_Y68],PF06301,Bacteriophage lambda Kil protein,NC_070883,Rhizobium phage RHph_Y68
YP_010661226.1,YP_010661226.1 hypothetical protein PP934_gp097 [Rhizobium phage RHph_Y68],PF09645,F-112 protein,NC_070883,Rhizobium phage RHph_Y68
YP_010661248.1,YP_010661248.1 hypothetical protein PP934_gp119 [Rhizobium phage RHph_Y68],PF17399,Domain of unknown function (DUF5405),NC_070883,Rhizobium phage RHph_Y68
YP_010661268.1,YP_010661268.1 hypothetical protein PP934_gp139 [Rhizobium phage RHph_Y68],PF08936,Carboxysome Shell Carbonic Anhydrase C-terminal,NC_070883,Rhizobium phage RHph_Y68
YP_010661272.1,YP_010661272.1 hypothetical protein PP934_gp143 [Rhizobium phage RHph_Y68],PF08994,T4 gene Gp59 loader of gp41 DNA helicase C-term,NC_070883,Rhizobium phage RHph_Y68
YP_010661311.1,YP_010661311.1 hypothetical protein PP934_gp182 [Rhizobium phage RHph_Y68],PF10674,Ycf54 protein,NC_070883,Rhizobium phage RHph_Y68
YP_010661352.1,YP_010661352.1 hypothetical protein PP934_gp223 [Rhizobium phage RHph_Y68],PF01383,CpcD/allophycocyanin linker domain,NC_070883,Rhizobium phage RHph_Y68
YP_010661355.1,YP_010661355.1 hypothetical protein PP934_gp226 [Rhizobium phage RHph_Y68],PF04448,Protein of unknown function (DUF551),NC_070883,Rhizobium phage RHph_Y68
YP_010661359.1,YP_010661359.1 hypothetical protein PP934_gp230 [Rhizobium phage RHph_Y68],PF04269,Protein of unknown function DUF440,NC_070883,Rhizobium phage RHph_Y68
YP_010661360.1,YP_010661360.1 hypothetical protein PP934_gp231 [Rhizobium phage RHph_Y68],PF17549,Gene Product 17,NC_070883,Rhizobium phage RHph_Y68
YP_010661362.1,YP_010661362.1 hypothetical protein PP934_gp233 [Rhizobium phage RHph_Y68],PF03554,UL73 viral envelope glycoprotein,NC_070883,Rhizobium phage RHph_Y68
YP_010661371.1,YP_010661371.1 hypothetical protein PP934_gp242 [Rhizobium phage RHph_Y68],PF13443,Cro/C1-type HTH DNA-binding domain,NC_070883,Rhizobium phage RHph_Y68
YP_010661375.1,YP_010661375.1 hypothetical protein PP934_gp246 [Rhizobium phage RHph_Y68],PF17613,Modifier of transcription,NC_070883,Rhizobium phage RHph_Y68
YP_010661379.1,YP_010661379.1 hypothetical protein PP934_gp250 [Rhizobium phage RHph_Y68],PF04694,Coronavirus ORF3 protein,NC_070883,Rhizobium phage RHph_Y68
YP_010661381.1,YP_010661381.1 hypothetical protein PP934_gp252 [Rhizobium phage RHph_Y68],PF04457,MJ1316 RNA cyclic group end recognition domain,NC_070883,Rhizobium phage RHph_Y68
YP_010661396.1,YP_010661396.1 putative tail fiber adhesin protein [Rhizobium phage RHph_N34],PF05268,Phage tail fibre adhesin Gp38,NC_070884,Rhizobium phage RHph_N34
YP_010661417.1,YP_010661417.1 hypothetical protein PP935_gp032 [Rhizobium phage RHph_N34],PF10071,Zn-ribbon-containing possibly nucleic-acid-binding protein (DUF2310),NC_070884,Rhizobium phage RHph_N34
YP_010661450.1,YP_010661450.1 hypothetical protein PP935_gp065 [Rhizobium phage RHph_N34],PF06569,Protein of unknown function (DUF1128),NC_070884,Rhizobium phage RHph_N34
YP_010661473.1,YP_010661473.1 DNA end protector protein during packaging [Rhizobium phage RHph_N34],PF03228,Adenoviral core protein VII,NC_070884,Rhizobium phage RHph_N34
YP_010661488.1,YP_010661488.1 hypothetical protein PP935_gp103 [Rhizobium phage RHph_N34],PF10828,Protein of unknown function (DUF2570),NC_070884,Rhizobium phage RHph_N34
YP_010661501.1,YP_010661501.1 hypothetical protein PP935_gp116 [Rhizobium phage RHph_N34],PF12829,Transcriptional regulation of mitochondrial recombination,NC_070884,Rhizobium phage RHph_N34
YP_010661507.1,YP_010661507.1 hypothetical protein PP935_gp122 [Rhizobium phage RHph_N34],PF10664,Cyanobacterial and plastid NDH-1 subunit M,NC_070884,Rhizobium phage RHph_N34
YP_010661516.1,YP_010661516.1 hypothetical protein PP935_gp131 [Rhizobium phage RHph_N34],PF11603,Sir1 ORC-binding domain,NC_070884,Rhizobium phage RHph_N34
YP_010661534.1,YP_010661534.1 late sigma transcription factor [Rhizobium phage RHph_N34],PF00140,Sigma-70 factor region 1.2,NC_070884,Rhizobium phage RHph_N34
YP_010661541.1,YP_010661541.1 putative clamp loader subunit DNA polymerase accessory protein [Rhizobium phage RHph_N34],PF03750,Csm2 Type III-A,NC_070884,Rhizobium phage RHph_N34
YP_010661542.1,YP_010661542.1 hypothetical protein PP935_gp157 [Rhizobium phage RHph_N34],PF20543,N2-fixation sustaining protein CowN,NC_070884,Rhizobium phage RHph_N34
YP_010661547.1,YP_010661547.1 hypothetical protein PP935_gp162 [Rhizobium phage RHph_N34],PF15040,Humanin family,NC_070884,Rhizobium phage RHph_N34
YP_010661578.1,YP_010661578.1 hypothetical protein PP935_gp193 [Rhizobium phage RHph_N34],PF11603,Sir1 ORC-binding domain,NC_070884,Rhizobium phage RHph_N34
YP_010661579.1,YP_010661579.1 hypothetical protein PP935_gp194 [Rhizobium phage RHph_N34],PF10073,GapR-like DNA-binding domain,NC_070884,Rhizobium phage RHph_N34
YP_010661590.1,YP_010661590.1 hypothetical protein PP935_gp205 [Rhizobium phage RHph_N34],PF06174,Protein of unknown function (DUF987),NC_070884,Rhizobium phage RHph_N34
YP_010661593.1,YP_010661593.1 hypothetical protein PP935_gp208 [Rhizobium phage RHph_N34],PF03887,YfbU domain,NC_070884,Rhizobium phage RHph_N34
YP_010661611.1,YP_010661611.1 hypothetical protein PP935_gp226 [Rhizobium phage RHph_N34],PF04467,Protein of unknown function (DUF483),NC_070884,Rhizobium phage RHph_N34
YP_010661612.1,YP_010661612.1 hypothetical protein PP935_gp227 [Rhizobium phage RHph_N34],PF02240,Methyl-coenzyme M reductase gamma subunit,NC_070884,Rhizobium phage RHph_N34
YP_010661627.1,YP_010661627.1 hypothetical protein PP935_gp242 [Rhizobium phage RHph_N34],PF20543,N2-fixation sustaining protein CowN,NC_070884,Rhizobium phage RHph_N34
YP_010661628.1,YP_010661628.1 hypothetical protein PP935_gp243 [Rhizobium phage RHph_N34],PF03887,YfbU domain,NC_070884,Rhizobium phage RHph_N34
YP_010661630.1,YP_010661630.1 hypothetical protein PP935_gp245 [Rhizobium phage RHph_N34],PF04787,Late protein H7,NC_070884,Rhizobium phage RHph_N34
YP_010661636.1,YP_010661636.1 hypothetical protein PP935_gp251 [Rhizobium phage RHph_N34],PF06949,Protein of unknown function (DUF1292),NC_070884,Rhizobium phage RHph_N34
YP_010661672.1,YP_010661672.1 hypothetical protein PP936_gp034 [Rhizobium phage RHph_I1_9],PF06442,R67 dihydrofolate reductase,NC_070885,Rhizobium phage RHph_I1_9
YP_010661684.1,YP_010661684.1 hypothetical protein PP936_gp046 [Rhizobium phage RHph_I1_9],PF08041,PetM family of cytochrome b6f complex subunit 7,NC_070885,Rhizobium phage RHph_I1_9
YP_010661731.1,YP_010661731.1 hypothetical protein PP936_gp093 [Rhizobium phage RHph_I1_9],PF01383,CpcD/allophycocyanin linker domain,NC_070885,Rhizobium phage RHph_I1_9
YP_010661733.1,YP_010661733.1 hypothetical protein PP936_gp095 [Rhizobium phage RHph_I1_9],PF05528,Accessory protein 5b avian coronavirus,NC_070885,Rhizobium phage RHph_I1_9
YP_010661738.1,YP_010661738.1 hypothetical protein PP936_gp100 [Rhizobium phage RHph_I1_9],PF05385,Mastadenovirus early E4 13 kDa protein,NC_070885,Rhizobium phage RHph_I1_9
YP_010661744.1,YP_010661744.1 hypothetical protein PP936_gp106 [Rhizobium phage RHph_I1_9],PF03139,Vanadium/alternative nitrogenase delta subunit,NC_070885,Rhizobium phage RHph_I1_9
YP_010661755.1,YP_010661755.1 hypothetical protein PP936_gp117 [Rhizobium phage RHph_I1_9],PF06174,Protein of unknown function (DUF987),NC_070885,Rhizobium phage RHph_I1_9
YP_010661766.1,YP_010661766.1 hypothetical protein PP936_gp128 [Rhizobium phage RHph_I1_9],PF03887,YfbU domain,NC_070885,Rhizobium phage RHph_I1_9
YP_010661782.1,YP_010661782.1 hypothetical protein PP936_gp144 [Rhizobium phage RHph_I1_9],PF04537,Herpesvirus UL55 protein,NC_070885,Rhizobium phage RHph_I1_9
YP_010661805.1,YP_010661805.1 hypothetical protein PP936_gp167 [Rhizobium phage RHph_I1_9],PF02398,Coronavirus protein 7,NC_070885,Rhizobium phage RHph_I1_9
YP_010661821.1,YP_010661821.1 hypothetical protein PP936_gp183 [Rhizobium phage RHph_I1_9],PF08956,Domain of unknown function (DUF1869),NC_070885,Rhizobium phage RHph_I1_9
YP_010661824.1,YP_010661824.1 hypothetical protein PP936_gp186 [Rhizobium phage RHph_I1_9],PF07118,Protein of unknown function (DUF1374),NC_070885,Rhizobium phage RHph_I1_9
YP_010661838.1,YP_010661838.1 hypothetical protein PP936_gp200 [Rhizobium phage RHph_I1_9],PF06301,Bacteriophage lambda Kil protein,NC_070885,Rhizobium phage RHph_I1_9
YP_010661850.1,YP_010661850.1 hypothetical protein PP936_gp212 [Rhizobium phage RHph_I1_9],PF09707,CRISPR-associated protein (Cas_Cas2CT1978),NC_070885,Rhizobium phage RHph_I1_9
YP_010661853.1,YP_010661853.1 hypothetical protein PP936_gp215 [Rhizobium phage RHph_I1_9],PF03622,IBV 3B protein,NC_070885,Rhizobium phage RHph_I1_9
YP_010661868.1,YP_010661868.1 hypothetical protein PP936_gp230 [Rhizobium phage RHph_I1_9],PF01307,Plant viral movement protein,NC_070885,Rhizobium phage RHph_I1_9
YP_010661872.1,YP_010661872.1 hypothetical protein PP936_gp234 [Rhizobium phage RHph_I1_9],PF04363,Protein of unknown function (DUF496),NC_070885,Rhizobium phage RHph_I1_9
YP_010661930.1,YP_010661930.1 hypothetical protein PP937_gp037 [Rhizobium phage P9VFCI],PF03206,Nitrogen fixation protein NifW,NC_070886,Rhizobium phage P9VFCI
YP_010661934.1,YP_010661934.1 hypothetical protein PP937_gp041 [Rhizobium phage P9VFCI],PF05256,Uncharacterised protein family (UPF0223),NC_070886,Rhizobium phage P9VFCI
YP_010661941.1,YP_010661941.1 hypothetical protein PP937_gp048 [Rhizobium phage P9VFCI],PF14176,YxiJ-like protein,NC_070886,Rhizobium phage P9VFCI
YP_010661965.1,YP_010661965.1 hypothetical protein PP937_gp072 [Rhizobium phage P9VFCI],PF05720,Cell-cell adhesion domain,NC_070886,Rhizobium phage P9VFCI
YP_010661997.1,YP_010661997.1 hypothetical protein PP937_gp104 [Rhizobium phage P9VFCI],PF17368,Spore morphogenesis and germination YwcE,NC_070886,Rhizobium phage P9VFCI
YP_010662001.1,YP_010662001.1 hypothetical protein PP937_gp108 [Rhizobium phage P9VFCI],PF05363,Herpesvirus US12 family,NC_070886,Rhizobium phage P9VFCI
YP_010662002.1,YP_010662002.1 hypothetical protein PP937_gp109 [Rhizobium phage P9VFCI],PF05720,Cell-cell adhesion domain,NC_070886,Rhizobium phage P9VFCI
YP_010662028.1,YP_010662028.1 hypothetical protein PP937_gp135 [Rhizobium phage P9VFCI],PF07126,Cell-division protein ZapC C-terminal,NC_070886,Rhizobium phage P9VFCI
YP_010662063.1,YP_010662063.1 hypothetical protein PP937_gp170 [Rhizobium phage P9VFCI],PF01024,Colicin pore forming domain,NC_070886,Rhizobium phage P9VFCI
YP_010662067.1,YP_010662067.1 hypothetical protein PP937_gp174 [Rhizobium phage P9VFCI],PF03206,Nitrogen fixation protein NifW,NC_070886,Rhizobium phage P9VFCI
YP_010662104.1,YP_010662104.1 hypothetical protein PP937_gp211 [Rhizobium phage P9VFCI],PF17346,Family of unknown function (DUF5376),NC_070886,Rhizobium phage P9VFCI
YP_010662133.1,YP_010662133.1 hypothetical protein PP937_gp240 [Rhizobium phage P9VFCI],PF06569,Protein of unknown function (DUF1128),NC_070886,Rhizobium phage P9VFCI
YP_010662154.1,YP_010662154.1 hypothetical protein PP938_gp004 [Rhizobium phage AF3],PF06569,Protein of unknown function (DUF1128),NC_070887,Rhizobium phage AF3
YP_010662165.1,YP_010662165.1 hypothetical protein PP938_gp015 [Rhizobium phage AF3],PF11480,Colicin-E5 Imm protein,NC_070887,Rhizobium phage AF3
YP_010662175.1,YP_010662175.1 hypothetical protein PP938_gp025 [Rhizobium phage AF3],PF04219,Protein of unknown function DUF,NC_070887,Rhizobium phage AF3
YP_010662197.1,YP_010662197.1 hypothetical protein PP938_gp047 [Rhizobium phage AF3],PF01677,Herpesvirus UL7 like,NC_070887,Rhizobium phage AF3
YP_010662198.1,YP_010662198.1 hypothetical protein PP938_gp048 [Rhizobium phage AF3],PF00738,Polyhedrin,NC_070887,Rhizobium phage AF3
YP_010662200.1,YP_010662200.1 hypothetical protein PP938_gp050 [Rhizobium phage AF3],PF05385,Mastadenovirus early E4 13 kDa protein,NC_070887,Rhizobium phage AF3
YP_010662201.1,YP_010662201.1 exonuclease [Rhizobium phage AF3],PF06023,CRISPR-associated exonuclease Csa1,NC_070887,Rhizobium phage AF3
YP_010662202.1,YP_010662202.1 hypothetical protein PP938_gp052 [Rhizobium phage AF3],PF04580,Chordopoxvirinae D3 protein,NC_070887,Rhizobium phage AF3
YP_010662204.1,YP_010662204.1 hypothetical protein PP938_gp054 [Rhizobium phage AF3],PF16857,RNA polymerase inhibitor,NC_070887,Rhizobium phage AF3
YP_010662230.1,YP_010662230.1 hypothetical protein PP938_gp080 [Rhizobium phage AF3],PF15598,Immunity protein 61,NC_070887,Rhizobium phage AF3
YP_010662250.1,YP_010662250.1 hypothetical protein PP938_gp100 [Rhizobium phage AF3],PF06711,Protein of unknown function (DUF1198),NC_070887,Rhizobium phage AF3
YP_010662287.1,YP_010662287.1 hypothetical protein PP938_gp137 [Rhizobium phage AF3],PF06569,Protein of unknown function (DUF1128),NC_070887,Rhizobium phage AF3
YP_010662293.1,YP_010662293.1 hypothetical protein PP938_gp143 [Rhizobium phage AF3],PF19785,Family of unknown function (UPF0738),NC_070887,Rhizobium phage AF3
